slug,url,tier,profile,vendor,num_pairs,accuracy_raw,accuracy_rendered,accuracy_delta,raw_fetch_status,rendered_fetch_status,parseability_score_raw,parseability_score_rendered,universal_score_raw,universal_score_rendered,content_type
developers-cloudflare-com-cache-about-default-cache-behavior,https://developers.cloudflare.com/cache/about/default-cache-behavior/,unknown,article,cloudflare,5,1.0,1.0,0.0,ok,ok,71.57965859759335,71.57129740808867,71.57965859759335,71.57129740808867,article
developers-cloudflare-com-cache-how-to-configure-cache-status-code,https://developers.cloudflare.com/cache/how-to/configure-cache-status-code/,unknown,tutorial,cloudflare,5,1.0,1.0,0.0,ok,ok,72.45582395510944,72.44792177231764,72.45582395510944,72.44792177231764,tutorial
developers-cloudflare-com-d1,https://developers.cloudflare.com/d1/,unknown,landing,cloudflare,5,1.0,1.0,0.0,ok,ok,67.05221164613661,67.04562818336163,67.05221164613661,67.04562818336163,article
developers-cloudflare-com-ddos-protection,https://developers.cloudflare.com/ddos-protection/,challenged=cf_challenge,landing,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-ddos-protection-about,https://developers.cloudflare.com/ddos-protection/about/,unknown,article,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-pages,https://developers.cloudflare.com/pages/,unknown,landing,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-pages-framework-guides,https://developers.cloudflare.com/pages/framework-guides/,unknown,sample,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-pages-tutorials-build-a-blog-using-nuxt-and-sanity,https://developers.cloudflare.com/pages/tutorials/build-a-blog-using-nuxt-and-sanity/,unknown,tutorial,cloudflare,5,1.0,1.0,0.0,ok,ok,71.73578422454155,71.73290298658105,71.73578422454155,71.73290298658105,tutorial
developers-cloudflare-com-r2,https://developers.cloudflare.com/r2/,unknown,landing,cloudflare,5,0.8,0.8,0.0,ok,ok,69.2197880206893,69.20950038305443,69.2197880206893,69.20950038305443,article
developers-cloudflare-com-r2-api,https://developers.cloudflare.com/r2/api/,unknown,reference,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-r2-reference-limits,https://developers.cloudflare.com/r2/reference/limits/,unknown,faq,cloudflare,5,1.0,1.0,0.0,ok,ok,69.55472293470558,70.18856381786203,69.55472293470558,70.18856381786203,reference
developers-cloudflare-com-r2-tutorials-upload-via-website,https://developers.cloudflare.com/r2/tutorials/upload-via-website/,unknown,tutorial,cloudflare,0,,,,failed,failed,,,,,
developers-cloudflare-com-turnstile-get-started,https://developers.cloudflare.com/turnstile/get-started/,challenged=cf_challenge,tutorial,cloudflare,5,1.0,1.0,0.0,ok,ok,68.95573099369618,68.94620050092576,68.95573099369618,68.94620050092576,article
developers-cloudflare-com-waf,https://developers.cloudflare.com/waf/,challenged=cf_challenge,landing,cloudflare,5,0.8,0.8,0.0,ok,ok,67.9393910495379,67.93422450565308,67.9393910495379,67.93422450565308,article
developers-cloudflare-com-workers,https://developers.cloudflare.com/workers/,unknown,landing,cloudflare,5,1.0,1.0,0.0,ok,ok,64.71160770815078,64.70901094561809,64.71160770815078,64.70901094561809,article
developers-cloudflare-com-workers-configuration-environment-variables,https://developers.cloudflare.com/workers/configuration/environment-variables/,unknown,tutorial,cloudflare,5,1.0,1.0,0.0,ok,ok,72.15586671901869,72.15376855960349,72.15586671901869,72.15376855960349,article
developers-cloudflare-com-workers-examples,https://developers.cloudflare.com/workers/examples/,unknown,sample,cloudflare,5,1.0,1.0,0.0,ok,ok,69.51822122767362,69.51360452045265,69.51822122767362,69.51360452045265,article
developers-cloudflare-com-workers-examples-extract-cookie-value,https://developers.cloudflare.com/workers/examples/extract-cookie-value/,unknown,sample,cloudflare,5,0.8,0.8,0.0,ok,ok,66.88485480662285,66.882089165294,66.88485480662285,66.882089165294,sample
developers-cloudflare-com-workers-examples-redirect,https://developers.cloudflare.com/workers/examples/redirect/,unknown,sample,cloudflare,5,1.0,1.0,0.0,ok,ok,69.12986845815303,69.12819178249954,69.12986845815303,69.12819178249954,sample
developers-cloudflare-com-workers-get-started-quickstarts,https://developers.cloudflare.com/workers/get-started/quickstarts/,unknown,tutorial,cloudflare,5,0.8,0.8,0.0,ok,ok,72.78448921399078,72.78029166910112,72.78448921399078,72.78029166910112,tutorial
developers-cloudflare-com-workers-observability-logs-workers-logs,https://developers.cloudflare.com/workers/observability/logs/workers-logs/,unknown,article,cloudflare,5,1.0,1.0,0.0,ok,ok,69.28272881814155,69.27804152137068,69.28272881814155,69.27804152137068,article
developers-cloudflare-com-workers-platform-limits,https://developers.cloudflare.com/workers/platform/limits/,unknown,faq,cloudflare,5,1.0,1.0,0.0,ok,ok,69.17222229522697,69.17036680435675,69.17222229522697,69.17036680435675,article
developers-cloudflare-com-workers-platform-pricing,https://developers.cloudflare.com/workers/platform/pricing/,unknown,article,cloudflare,5,1.0,1.0,0.0,ok,ok,71.52900024971551,72.33124853681241,71.52900024971551,72.33124853681241,article
